# y,vx
3.750000000000000000e-01,0.000000000000000000e+00
1.125000000000000000e+00,4.775174866487990499e+00
1.875000000000000000e+00,4.118479120357427803e+00
2.625000000000000000e+00,2.408554653394836098e+00
3.375000000000000000e+00,1.529750573445990414e+00
4.125000000000000000e+00,1.526643117533282856e+00
4.875000000000000000e+00,1.414401667951998842e+00
5.625000000000000000e+00,1.027707713801335077e+00
6.375000000000000000e+00,6.026694606485941685e-01
7.125000000000000000e+00,3.741789431440973868e-01
7.875000000000000000e+00,-7.494876168928417404e-02
8.625000000000000000e+00,-6.119622019282073833e-01
9.375000000000000000e+00,-1.104373738149414086e+00
1.012500000000000000e+01,-1.799348448858629324e+00
1.087500000000000000e+01,-2.325952052006680759e+00
1.162500000000000000e+01,-2.698572135824268692e+00
1.237500000000000000e+01,-3.079309737303997707e+00
1.312500000000000000e+01,-4.216511043520050350e+00
1.387500000000000000e+01,-5.174955690177889700e+00
1.462500000000000000e+01,0.000000000000000000e+00
